trait,distance
1000-grain weight,0.712279200553894
number of spikelets on primary branches per panicle,0.6232185959815979
Grains per plant,0.7851623892784119
grains/plant,0.8109734654426575
lesion degree,0.5675177574157715
photoperiod sensitive phase,0.5994629263877869
Dead leaf rate at 41 days,0.549699604511261
plant height at maturity,0.8799651265144348
"""Plant height (High N level, Nutrient solution culture, )""",0.7279051542282104
Plot yield,0.6486691236495972
leaf rolling score (LRS),0.5868090391159058
"""Grain weight, g/1,000""",0.7139613032341003
Maximum new root length F-RP,0.6594545841217041
root thickness,0.6869257092475891
culm length,0.6692127585411072
phytoalexin biosynthesis?,0.6279388666152954
Plant heigh at maturity,0.7426450252532959
Grain l/w ratio,0.6476083993911743
granule disintegration,0.5979721546173096
Number of panicles per plant,0.7582133412361145
grain yield,0.6754628419876099
Hexose/plant,0.6996180415153503
P-use eficiency ,0.6231985092163086
Total internode elongation length,0.6372537612915039
brown planthopper ,0.6509609222412109
Zn2+ toxicity tolerance,0.6129871606826782
discoloration,0.613683819770813
cumulative chlorophyll content of the second leaf,0.5914903283119202
Panicles/m2,0.7447634339332581
Length of top second internode ,0.6133135557174683
Neck blast incidence at Kampangsaen (1998),0.5717971920967102
alternative oxidase,0.5853060483932495
White-back kernels,0.5833953619003296
Root volume,0.672347366809845
P uptake,0.6384196877479553
Albino plantlet differentiation frequency,0.598450243473053
Alkali-spread.score,0.5904079675674438
length of the heading period,0.6061348915100098
Penetrated root number(Fall),0.5585125088691711
Deep root per tiller,0.6302694082260132
filled grain weight per plant (GYD),0.6419474482536316
breakdown,0.6282874941825867
biomass yield ,0.6802430748939514
tiller number at maturity,0.5904741287231445
inhibition of seed shattering,0.6016291975975037
Max. root length,0.6740580201148987
delay in flowering time by drought (DFT),0.5607839226722717
Disease severity,0.6124358177185059
Root number (Water deficit),0.5892684459686279
Stem diameter,0.7641047835350037
number of spikelets on primary branches per primary branches,0.6148382425308228
root volume (low moisture stress 85 days),0.5496351718902588
Percent sterility,0.6237664818763733
thermo-sensitive genic male-sterile,0.5767319798469543
bacterial blight disease resistance,0.6456905007362366
inositol-6-phosphate,0.6136102080345154
root dry weight,0.7031527757644653
Biomass yield,0.6721003651618958
leaf drying,0.6736966967582703
Çíeduction in chlorophyll content,0.6354674696922302
Plant height ,0.9703910946846008
Total dry weight,0.6864823698997498
Days to wilt (DW4),0.5602582693099976
Deep root weight,0.6837113499641418
Percentage of chalkiness grains,0.5032073855400085
Tillers/plant ,0.8487275242805481
parial resistance to neck blast,0.5068721771240234
number of productive panicles per plant (PAN),0.6828421354293823
lowest elongated internode,0.6507540941238403
the number of tillers,0.6468538045883179
number of late-discoloring leaves per panicle at 25 DAF,0.570060670375824
grain weight per panicle,0.7373617887496948
Root weight in the 30-60 cm laye,0.6758658289909363
Root weight in the 60-90 cm layer,0.7016948461532593
Amylose content,0.5844104290008545
Rice bran,0.667528510093689
leaf rolling,0.6722344160079956
submergence tolerance,0.6623092889785767
No. of new roots Average,0.5876545906066895
tolerance to ferrous iron toxicity,0.6468679308891296
total area of late metaxylem vessels,0.5403652787208557
root length ratio,0.6625877022743225
cooked kernel elongation ratio,0.5685984492301941
Maximum Root Length,0.7094694375991821
Grain weight/plant,0.8339926600456238
fertility-restoring,0.5825662612915039
Cold tolerance,0.6372015476226807
Seedling height,0.8315030336380005
Total Chlorophyll,0.6641232371330261
Grain weight(1999),0.713261604309082
percent ripened grain,0.6162739396095276
ratio of culm length reduction,0.5980857014656067
Sheath blight response ratings,0.6037957668304443
Vigor of germination (14 days),0.6203675270080566
Protein content,0.6004744172096252
Plant weight low N condition ,0.7890661358833313
plant height,0.9679995775222778
Area of -3rd leaf (cm2),0.6894728541374207
grains per panicle,0.717635989189148
partial resistance to leaf blast,0.6246552467346191
relative spikelet fertility (RSF),0.6236696839332581
phtoperiod-sensitivite genetic male sterility,0.6514812111854553
grain number per panicle,0.6741008758544922
Grains/panicle,0.707560658454895
Days-to-heading,0.5404284596443176
total root number,0.6160681247711182
Grain length ,0.7026242017745972
"""Plant height (Low N level, Nutrient solution culture, )""",0.7273886799812317
Seed ÇÑormancy,0.7234725952148438
number of panicle,0.6738488078117371
Total root number(Fall),0.6003503799438477
field resistance to neck blast,0.5896259546279907
chlorate sensitivity,0.569130539894104
relative root elongation,0.6388618350028992
Fertility,0.6505274176597595
degree of mean chlorophyll content of the flag and second leaves,0.5247628688812256
degree of chlorophyll content of the second leaf at the heading date,0.5009922385215759
leaf chlorophyll content,0.6639979481697083
